group,set,method,scorer,r,cost,len,rouge1_P,rouge1_R,rouge2_P,rouge2_R,idxs
D0801,B,greedy1,am,0,104,3,0.3838,0.4039,0.1199,0.1315,113:117:52
D0801,B,greedy1,hm,0,104,3,0.3838,0.4039,0.1199,0.1315,113:117:52
D0801,B,greedy1,R2,0,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,am,0.1,104,3,0.3838,0.4039,0.1199,0.1315,113:117:52
D0801,B,greedy1,hm,0.1,100,4,0.4362,0.4361,0.1398,0.1474,113:117:48:79
D0801,B,greedy1,R2,0.1,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,am,0.3,100,4,0.4362,0.4361,0.1398,0.1474,113:117:48:79
D0801,B,greedy1,hm,0.3,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,R2,0.3,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,am,0.4,100,4,0.4362,0.4361,0.1398,0.1474,113:117:48:79
D0801,B,greedy1,hm,0.4,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,R2,0.4,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,am,0.5,100,4,0.4362,0.4361,0.1398,0.1474,113:117:48:79
D0801,B,greedy1,hm,0.5,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,R2,0.5,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,am,0.6,100,4,0.4362,0.4361,0.1398,0.1474,113:117:48:79
D0801,B,greedy1,hm,0.6,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0801,B,greedy1,R2,0.6,102,4,0.4056,0.4284,0.1392,0.1579,113:93:48:37
D0803,B,greedy1,am,0,104,3,0.4250,0.4203,0.1515,0.1503,99:94:13
D0803,B,greedy1,hm,0,104,3,0.4250,0.4203,0.1515,0.1503,94:99:13
D0803,B,greedy1,R2,0,98,3,0.4263,0.4004,0.1622,0.1528,94:99:0
D0803,B,greedy1,am,0.1,104,3,0.4250,0.4203,0.1515,0.1503,99:94:13
D0803,B,greedy1,hm,0.1,98,3,0.4263,0.4004,0.1622,0.1528,94:99:0
D0803,B,greedy1,R2,0.1,98,3,0.4263,0.4004,0.1622,0.1528,94:99:0
D0803,B,greedy1,am,0.3,104,3,0.4250,0.4203,0.1515,0.1503,99:13:94
D0803,B,greedy1,hm,0.3,98,3,0.4263,0.4004,0.1622,0.1528,99:94:0
D0803,B,greedy1,R2,0.3,98,3,0.4263,0.4004,0.1622,0.1528,99:94:0
D0803,B,greedy1,am,0.4,104,3,0.4250,0.4203,0.1515,0.1503,99:13:94
D0803,B,greedy1,hm,0.4,98,3,0.4263,0.4004,0.1622,0.1528,99:94:0
D0803,B,greedy1,R2,0.4,98,3,0.4263,0.4004,0.1622,0.1528,99:94:0
D0803,B,greedy1,am,0.5,103,4,0.4265,0.4290,0.1436,0.1444,99:0:13:58
