term,tf,df,idf
gridiron,2,2,10.933
repackag,2,2,10.933
reorient,2,2,10.933
levonorgestrel,2,2,10.933
chesapeak,2,2,10.933
renoir,2,2,10.933
renn,2,2,10.933
renegoti,2,2,10.933
lib,2,2,10.933
chet,2,2,10.933
libertin,2,2,10.933
licenc,2,2,10.933
chernobyl,2,2,10.933
chew,2,2,10.933
erasmu,2,2,10.933
lien,2,2,10.933
chiang,2,2,10.933
chiayi,2,2,10.933
chic,2,2,10.933
relict,2,2,10.933
chida,2,2,10.933
lifeless,2,2,10.933
rejoind,2,2,10.933
lifesav,2,2,10.933
reinvestig,2,2,10.933
chey,2,2,10.933
lever,2,2,10.933
leve,2,2,10.933
chenadec,2,2,10.933
cheater,2,2,10.933
letharg,2,2,10.933
letterman,2,2,10.933
leuffer,2,2,10.933
leuk,2,2,10.933
checkett,2,2,10.933
checkmat,2,2,10.933
resal,2,2,10.933
rerun,2,2,10.933
rerucha,2,2,10.933
rerout,2,2,10.933
err,2,2,10.933
reread,2,2,10.933
requisit,2,2,10.933
cheeseburg,2,2,10.933
cheesi,2,2,10.933
chehab,2,2,10.933
repugn,2,2,10.933
chelsea,2,2,10.933
leung,2,2,10.933
reprint,2,2,10.933
chemist,2,2,10.933
reprehens,2,2,10.933
reportori,2,2,10.933
levan,2,2,10.933
childcar,3,2,10.933
erudit,2,2,10.933
equit,2,2,10.933
reintegr,2,2,10.933
lima,2,2,10.933
refocu,2,2,10.933
refil,2,2,10.933
referr,2,2,10.933
epicent,2,2,10.933
ephemer,2,2,10.933
chosun,2,2,10.933
chou,2,2,10.933
chow,2,2,10.933
lin,3,2,10.933
lindbergh,2,2,10.933
epidemiologist,2,2,10.933
christendom,2,2,10.933
linguist,2,2,10.933
linkag,2,2,10.933
liotta,2,2,10.933
redefinit,2,2,10.933
reddish,2,2,10.933
lipton,2,2,10.933
liquiefi,2,2,10.933
enviabl,2,2,10.933
reconfigur,2,2,10.933
envi,2,2,10.933
recombin,2,2,10.933
linenth,2,2,10.933
refocus,2,2,10.933
regal,2,2,10.933
regalia,2,2,10.933
reinstal,2,2,10.933
lifespan,2,2,10.933
equestrian,2,2,10.933
reignit,2,2,10.933
reiding,2,2,10.933
ligament,2,2,10.933
lighten,2,2,10.933
chimpanze,2,2,10.933
chin,2,2,10.933
rehman,2,2,10.933
chinatown,2,2,10.933
epstein,2,2,10.933
rehab,2,2,10.933
epoch,2,2,10.933
lighthous,2,2,10.933
epitom,2,2,10.933
likeabl,2,2,10.933
chlamydia,2,2,10.933
reginald,2,2,10.933
regina,2,2,10.933
chmiel,2,2,10.933
choat,2,2,10.933
lili,2,2,10.933
lill,2,2,10.933
regenc,2,2,10.933
childish,2,2,10.933
resoundingli,2,2,10.933
respir,2,2,10.933
lest,2,2,10.933
lear,2,2,10.933
romanian,2,2,10.933
learner,2,2,10.933
rollcal,2,2,10.933
leavi,2,2,10.933
cerio,2,2,10.933
rohrbaugh,2,2,10.933
ethicoscientif,2,2,10.933
rogozin,2,2,10.933
rogol,2,2,10.933
rofecoxib,2,2,10.933
centrino,2,2,10.933
cervic,2,2,10.933
lebanc,2,2,10.933
chachajo,2,2,10.933
rodeo,2,2,10.933
rockwel,2,2,10.933
chadwick,2,2,10.933
rockvil,2,2,10.933
estuari,2,2,10.933
leder,2,2,10.933
chaira,2,2,10.933
rochman,2,2,10.933
robson,2,2,10.933
cetin,2,2,10.933
ethnographi,2,2,10.933
ronaldo,2,2,10.933
ronan,2,2,10.933
roundup,2,2,10.933
roundli,2,2,10.933
layleh,2,2,10.933
roundabout,2,2,10.933
layout,2,2,10.933
lazi,2,2,10.933
celebratori,2,2,10.933
rottweil,2,2,10.933
celest,2,2,10.933
rotten,2,2,10.933
euphor,2,2,10.933
cellist,2,2,10.933
euphem,2,2,10.933
rothesay,2,2,10.933
leaderless,2,2,10.933
rotari,2,2,10.933
rota,2,2,10.933
leah,2,2,10.933
cene,2,2,10.933
etzioni,2,2,10.933
roost,2,2,10.933
roon,2,2,10.933
centenari,2,2,10.933
roommat,2,2,10.933
