position,doc_sents,sent_id,group,set,doc_id,num_words,R1.R,R1.P,R2.R,R2.P,nouns,prpns,target,lexrank,tfisf,btfisf,scores
1,8,1,d30001,A,APW19981124.0267,23,0.07053,0.3409,0.002404,0.0119,6,3,0,0.51141,-0.111077,-0.0937017,0.986061
2,8,2,d30001,A,APW19981124.0267,29,0.1298,0.4911,0.04323,0.1667,4,8,0,1.94875,0.909812,1.71554,1.06796
4,8,4,d30001,A,APW19981124.0267,24,0.08508,0.4091,0.009638,0.04762,4,2,0,0.342432,-0.123431,-0.0976424,0.963975
5,8,5,d30001,A,APW19981124.0267,23,0.09427,0.4762,0.009638,0.05,3,2,0,0.539389,-0.659076,-0.656578,0.974688
6,8,6,d30001,A,APW19981124.0267,25,0.09008,0.38,0.01674,0.07292,1,8,0,1.68762,-0.216021,-0.125408,1.03268
7,8,7,d30001,A,APW19981124.0267,30,0.09916,0.375,0.009406,0.03704,5,1,0,0.367293,-0.341481,-0.394221,0.953165
0,16,8,d30001,A,APW19981026.0220,24,0.1009,0.4674,0.01606,0.07955,4,5,0,0.694277,0.174802,1.42558,1.00624
1,16,9,d30001,A,APW19981026.0220,51,0.2582,0.5561,0.07201,0.1562,12,10,1,2.61341,2.71923,4.19012,1.07973
2,16,10,d30001,A,APW19981026.0220,38,0.1622,0.4662,0.02821,0.08333,10,5,0,2.23544,1.37699,1.7091,1.0722
3,16,11,d30001,A,APW19981026.0220,12,0.02351,0.25,0,0,2,0,0,0.202666,-1.1255,-1.00398,0.977442
4,16,12,d30001,A,APW19981026.0220,32,0.1271,0.4219,0.01628,0.05645,6,8,0,0.901824,0.665757,0.802568,0.989626
5,16,13,d30001,A,APW19981026.0220,25,0.106,0.4688,0.01376,0.06522,4,4,0,0.581803,0.0829157,0.694157,0.983106
6,16,14,d30001,A,APW19981026.0220,21,0.07588,0.381,0.009638,0.05,3,2,0,0.387044,-0.612905,-0.799088,0.9714
7,16,15,d30001,A,APW19981026.0220,45,0.1979,0.4884,0.03805,0.09524,10,7,0,1.94172,1.87981,2.72934,1.03192
8,16,16,d30001,A,APW19981026.0220,28,0.08541,0.3333,0,0,8,2,0,0.299897,-0.204168,-0.158717,0.958974
9,16,17,d30001,A,APW19981026.0220,16,0.06814,0.4531,0.002404,0.01667,3,2,0,0.319392,-0.806115,-0.565097,0.97326
10,16,18,d30001,A,APW19981026.0220,26,0.1057,0.4167,0.01937,0.07692,7,5,0,0.62372,0.426802,0.510442,0.973986
12,16,20,d30001,A,APW19981026.0220,30,0.05657,0.2,0,0,6,6,0,0.166996,0.137235,-0.0886682,0.942886
13,16,21,d30001,A,APW19981026.0220,38,0.146,0.4306,0.01421,0.04286,12,0,0,0.738347,1.01768,1.89267,0.969152
