position,doc_sents,sent_id,group,set,doc_id,num_words,R1.R,R1.P,R2.R,R2.P,nouns,prpns,target,lexrank,tfisf,btfisf,scores
0,21,0,D0901,A,XIN_ENG_20041113.0001,35,0.1123,0.3309,0.01261,0.03788,8,5,0,0.897234,1.21131,1.99905,1.0204
1,21,1,D0901,A,XIN_ENG_20041113.0001,52,0.132,0.2598,0.002604,0.005,14,1,0,0.334801,1.90603,0.941199,0.970308
2,21,2,D0901,A,XIN_ENG_20041113.0001,23,0.06237,0.2841,0,0,5,1,0,0.230046,-0.469633,-0.421029,0.981723
3,21,3,D0901,A,XIN_ENG_20041113.0001,30,0.1072,0.3839,0.01503,0.05556,7,5,0,1.5088,0.51923,0.408923,1.01585
5,21,5,D0901,A,XIN_ENG_20041113.0001,35,0.09979,0.2857,0.01269,0.03676,8,1,0,0.942187,0.55334,-0.0279515,0.9919
6,21,6,D0901,A,XIN_ENG_20041113.0001,24,0.06985,0.3182,0.01008,0.04762,4,2,0,0.360534,-0.528885,-0.669128,0.97889
8,21,8,D0901,A,XIN_ENG_20041113.0001,42,0.134,0.3462,0.01269,0.03289,6,9,0,1.35049,1.23388,0.786274,1.00245
9,21,9,D0901,A,XIN_ENG_20041113.0001,24,0.112,0.4688,0.01511,0.06522,2,5,0,1.09143,-0.0246968,-0.266397,1.00215
11,21,11,D0901,A,XIN_ENG_20041113.0001,10,0.01239,0.125,0,0,4,0,0,0.185155,-1.06738,-1.15095,0.979516
12,21,12,D0901,A,XIN_ENG_20041113.0001,28,0.1271,0.4722,0.01513,0.05769,6,1,0,0.963045,-0.637046,-0.722098,0.986478
13,21,13,D0901,A,XIN_ENG_20041113.0001,17,0.04733,0.2794,0.01008,0.0625,4,0,0,0.669386,-0.757847,-0.879775,0.992456
14,21,14,D0901,A,XIN_ENG_20041113.0001,29,0.09206,0.3304,0.004952,0.01852,3,7,0,1.63874,0.711752,0.327149,1.01361
15,21,15,D0901,A,XIN_ENG_20041113.0001,12,0.04733,0.4318,0,0,3,2,0,1.27988,-0.761371,-0.779182,1.01148
16,21,16,D0901,A,XIN_ENG_20041113.0001,24,0.05739,0.2396,0,0,2,2,0,0.416034,-0.499409,-0.635118,0.979094
17,21,17,D0901,A,XIN_ENG_20041113.0001,26,0.1095,0.44,0.01766,0.07292,2,3,0,1.99203,-0.378196,-0.347252,1.02492
18,21,18,D0901,A,XIN_ENG_20041113.0001,16,0.04973,0.3125,0,0,3,1,0,0.161439,-0.695772,-0.813683,0.975025
20,21,20,D0901,A,XIN_ENG_20041113.0001,34,0.1271,0.375,0.03032,0.09091,8,1,0,0.772143,0.364756,0.0625863,0.983879
0,19,21,D0901,A,APW_ENG_20041118.0081,33,0.1074,0.3468,0,0,6,3,0,1.22789,1.00632,1.75896,1.02841
1,19,22,D0901,A,APW_ENG_20041118.0081,45,0.1671,0.3895,0.02032,0.04762,7,12,0,1.68347,2.21532,1.95732,1.02451
2,19,23,D0901,A,APW_ENG_20041118.0081,18,0.06495,0.3611,0.005031,0.02941,6,1,0,0.845484,-0.199628,-0.260845,1.00733
3,19,24,D0901,A,APW_ENG_20041118.0081,19,0.03975,0.2222,0,0,3,3,0,0.460551,0.121816,-0.322935,0.985683
4,19,25,D0901,A,APW_ENG_20041118.0081,34,0.06477,0.2407,0.02014,0.07692,5,5,0,0.747459,0.310138,-0.177792,0.985064
5,19,26,D0901,A,APW_ENG_20041118.0081,30,0.05464,0.2037,0.002427,0.009615,3,1,0,0.349845,-0.524474,-0.736226,0.971977
6,19,27,D0901,A,APW_ENG_20041118.0081,27,0.07752,0.31,0,0,8,4,0,1.22257,0.238829,-0.116158,1.00635
7,19,28,D0901,A,APW_ENG_20041118.0081,27,0.07252,0.29,0.009984,0.04167,7,1,0,0.869427,-0.012299,-0.295637,0.9914
8,19,29,D0901,A,APW_ENG_20041118.0081,24,0.09754,0.4062,0.01251,0.05435,6,1,0,1.27226,0.191531,0.0401581,1.01144
9,19,30,D0901,A,APW_ENG_20041118.0081,38,0.1022,0.2847,0.004952,0.01429,11,0,0,0.214288,0.94803,0.138076,0.964334
10,19,31,D0901,A,APW_ENG_20041118.0081,24,0.09041,0.375,0.01555,0.06522,4,3,0,1.4638,-0.294434,-0.422637,1.01372
11,19,32,D0901,A,APW_ENG_20041118.0081,16,0.07302,0.4531,0.03334,0.2167,3,0,1,0.94542,-0.817572,-0.818307,0.998829
12,19,33,D0901,A,APW_ENG_20041118.0081,11,0.02762,0.275,0,0,0,3,0,1.4433,-0.964959,-0.904218,1.01561
13,19,34,D0901,A,APW_ENG_20041118.0081,18,0.08725,0.5147,0.01008,0.0625,3,3,0,1.48855,-0.818682,-0.712701,1.01141
14,19,35,D0901,A,APW_ENG_20041118.0081,38,0.1819,0.5368,0.04033,0.1212,8,6,0,2.03023,0.923037,0.692077,1.02775
15,19,36,D0901,A,APW_ENG_20041118.0081,25,0.082,0.3438,0.002604,0.01087,5,3,0,0.82086,0.018465,-0.0826512,0.993255
16,19,37,D0901,A,APW_ENG_20041118.0081,49,0.1896,0.413,0.038,0.08333,11,5,0,1.74873,1.81506,1.54246,1.01103
17,19,38,D0901,A,APW_ENG_20041118.0081,35,0.1023,0.3203,0.02275,0.07258,5,5,0,0.876518,0.372488,0.0966196,0.98787
