position,doc_sents,sent_id,group,set,doc_id,num_words,R1.R,R1.P,R2.R,R2.P,nouns,prpns,target,nf,lexrank,tfisf,btfisf,scores
0,26,0,D0901,B,AFP_ENG_20050409.0466,43,0.1378,0.3415,0.02495,0.0625,13,5,0,(),1.8373,1.71621,4.76656,1.20735
1,26,1,D0901,B,AFP_ENG_20050409.0466,24,0.04657,0.2065,0.007401,0.03409,2,7,0,(),0.525918,-0.10962,-0.215059,0.998905
2,26,2,D0901,B,AFP_ENG_20050409.0466,20,0.05405,0.2895,0,0,5,1,0,(),0.442452,-0.453871,-0.687296,0.996025
3,26,3,D0901,B,AFP_ENG_20050409.0466,32,0.1034,0.35,0.005051,0.01724,7,7,0,(),1.87052,1.2181,1.63835,1.08246
4,26,4,D0901,B,AFP_ENG_20050409.0466,43,0.1182,0.2791,0.007526,0.01786,13,2,0,(),0.828164,2.07646,1.63995,0.921713
5,26,5,D0901,B,AFP_ENG_20050409.0466,32,0.05657,0.1983,0.005001,0.01786,5,1,0,(),0.327584,-0.223249,-0.583579,0.883185
6,26,6,D0901,B,AFP_ENG_20050409.0466,33,0.08354,0.2656,0.007451,0.02419,9,0,0,(),0.329974,0.0604294,0.271359,0.907031
7,26,7,D0901,B,AFP_ENG_20050409.0466,18,0.04922,0.2941,0,0,3,2,0,(),0.528739,-0.591854,-0.768098,0.96448
8,26,8,D0901,B,AFP_ENG_20050409.0466,23,0.04427,0.2045,0,0,0,5,0,(),1.10555,-0.433602,0.00619616,0.998659
9,26,9,D0901,B,AFP_ENG_20050409.0466,21,0.07863,0.381,0.01493,0.075,5,3,0,(),1.53449,0.220062,0.0675613,1.05577
10,26,10,D0901,B,AFP_ENG_20050409.0466,10,0.01485,0.1667,0,0,2,0,0,(),0.464806,-1.43087,-1.14068,0.978784
11,26,11,D0901,B,AFP_ENG_20050409.0466,19,0.03437,0.2059,0,0,3,6,0,(),0.441003,-0.27223,-0.580929,0.953076
12,26,12,D0901,B,AFP_ENG_20050409.0466,29,0.07866,0.2857,0.002525,0.009259,6,2,0,(),0.291153,0.132444,-0.403871,0.890649
13,26,13,D0901,B,AFP_ENG_20050409.0466,27,0.05405,0.2115,0,0,4,0,0,(),0.348028,-0.646229,-0.540543,0.910686
14,26,14,D0901,B,AFP_ENG_20050409.0466,20,0.06873,0.35,0.01983,0.1053,2,3,0,(),2.14372,-0.879212,-0.26375,1.11445
15,26,15,D0901,B,AFP_ENG_20050409.0466,42,0.1129,0.2738,0.01233,0.03049,7,3,0,(),0.623963,1.35299,1.61464,0.908493
17,26,17,D0901,B,AFP_ENG_20050409.0466,20,0.03449,0.1944,0.002525,0.01471,5,3,0,(),0.545546,-0.12775,-0.142943,0.964303
18,26,18,D0901,B,AFP_ENG_20050409.0466,33,0.04907,0.1613,0,0,5,2,0,(),0.271754,-0.129622,-0.480069,0.866995
19,26,19,D0901,B,AFP_ENG_20050409.0466,30,0.05897,0.2143,0,0,6,8,0,(),0.718897,0.332647,-0.0541364,0.927445
20,26,20,D0901,B,AFP_ENG_20050409.0466,20,0.02704,0.1528,0,0,7,0,0,(),0.324233,-0.381727,-0.252617,0.944046
21,26,21,D0901,B,AFP_ENG_20050409.0466,31,0.06875,0.2414,0,0,7,0,0,(),0.406254,0.298767,0.0438253,0.897179
22,26,22,D0901,B,AFP_ENG_20050409.0466,14,0.04915,0.3846,0,0,3,2,0,(),1.28231,-0.980562,-0.82314,1.03982
23,26,23,D0901,B,AFP_ENG_20050409.0466,40,0.162,0.4125,0.03953,0.1026,8,7,0,(),1.82611,1.85383,2.87627,1.05944
24,26,24,D0901,B,AFP_ENG_20050409.0466,17,0.07363,0.4412,0.02478,0.1562,3,4,0,(),1.60517,-0.502527,-0.0618894,1.07489
25,26,25,D0901,B,AFP_ENG_20050409.0466,22,0.09341,0.4524,0.02745,0.1375,3,6,0,(),1.04355,0.324102,1.38538,1.0288
0,17,26,D0901,B,AFP_ENG_20050411.0174,26,0.09586,0.375,0.009852,0.04,3,9,0,(),1.75962,0.35675,2.37829,1.21209
1,17,27,D0901,B,AFP_ENG_20050411.0174,36,0.1376,0.3889,0.0298,0.08571,7,7,0,(),2.10305,0.987436,2.17454,1.16386
2,17,28,D0901,B,AFP_ENG_20050411.0174,26,0.1009,0.4271,0.02,0.08696,4,5,0,(),1.454,-0.215403,0.341277,1.09236
3,17,29,D0901,B,AFP_ENG_20050411.0174,33,0.1545,0.4773,0.03951,0.125,7,7,0,(),1.58122,1.10471,2.10746,1.07061
